"year","ISO_code","countries","ECONOMIC FREEDOM","rank","quartile","1a_government_consumption","1b_transfers","1c_gov_enterprises","1d_top_marg_tax_rate","1_size_government","2a_judicial_independence","2b_impartial_courts","2c_protection_property_rights","2d_military_interference","2e_integrity_legal_system","2f_legal_enforcement_contracts","2g_restrictions_sale_real_property","2h_reliability_police","2i_business_costs_crime","2j_gender_adjustment","2_property_rights","3a_money_growth","3b_std_inflation","3c_inflation","3d_freedom_own_foreign_currency","3_sound_money","4a_tariffs","4b_regulatory_trade_barriers","4c_black_market","4d_control_movement_capital_ppl","4_trade","5a_credit_market_reg","5b_labor_market_reg","5c_business_reg","5_regulation","pib","pib_per_cap","taxa_desemprego"
"2016","ALB","Albania","7.54","34","1","8.232352941","7.509902296","8","8","7.935563809","2.668221792","3.145461678","4.512227773","8.333333333","4.166666667","4.387444055","6.48528661","6.933499972","6.215400695","0.948717949","5.071813726","8.986454287","9.484575272","9.7436","10","9.55365739","8.963555556","7.489904631","10","6.406137855","8.21489951","7.098562307","6.916277916","6.705863193","6.906901139","3.31","3.48","15.2"
"2016","DZA","Algeria","4.99","159","4","2.15","7.817129014","0","4.5","3.616782254","4.186704158","4.327112635","4.689952135","4.166666667","5","4.507538039","6.626692153","6.136844953","6.737383207","0.820512821","4.690742835","6.955962198","8.339152127","8.72046","5","7.253893581","6.872533333","2.481294473","5.563909774","1.590361717","4.127024824","5.100508618","5.029512576","5.676955998","5.268992397","3.20","0.994","10.498"
"2016","AGO","Angola","5.17","155","4","7.6","8.886739306","0","9.5","6.496684826","1.843129164","1.974565724","2.512364187","3.333333333","4.166666667","2.302200397","5.455882288","3.016103987","4.291196631","0.846153846","2.963635116","9.385679482","4.986741972","3.054","5","5.606605364","6.989244444","2.024949049","10","2.044822683","5.264754044","7.064905164","4.560324821","4.930271338","5.518500441","-2.58","-5.492","0"
"2016","ARG","Argentina","4.84","160","4","5.335294118","6.048930423","6","4","5.346056135","3.689690033","2.93056349","4.255994558","7.5","3.333333333","3.632871823","6.857195103","3.385785818","4.13383166","0.769230769","3.904030401","5.233264399","5.224079496","2","10","5.614335974","6.4216","4.811105486","0","4.69748214","3.982546906","5.419820383","5.151405292","5.535830648","5.369018774","-2.08","-3.11","8.467"
"2016","ARM","Armenia","7.57","29","1","7.264705882","7.748532262","8","5","7.003309536","3.867378632","4.197568695","5.664316813","5.833333333","5","5.196692523","9.80196309","5.714027882","7.007653713","1","5.809214965","9.078263925","9.263495878","9.746","10","9.521939951","8.547555556","7.194410488","10","6.830997972","8.143241004","9.10204603","6.234629858","6.797530175","7.378068688","0.20","0.121","18"
"2016","AUS","Australia","7.98","10","1","4.511764706","6.664947872","10","5","6.544178144","8.766928513","5.610652765","7.998304367","10","9.166666667","6.025331188","8.205654997","8.707445463","6.790183385","1","7.919018594","8.564837584","9.500703526","9.74462","10","9.452540278","8.82","7.427103293","10","3.85978066","7.526720988","9.576357984","7.698589133","8.121630652","8.465525923","2.78","1.069","5.7"
"2016","AUT","Austria","7.58","27","1","3.744117647","3.10106205","10","3.5","5.086294924","7.650855382","5.482199589","8.092564742","10","10","6.220992578","8.10049394","8.501866658","7.194909255","1","7.915986905","8.033868574","9.875450532","9.822","10","9.432829777","8.266133333","8.254011088","10","5.906785912","8.106732583","9.12901455","5.56511786","7.419870158","7.371334189","2.08","0.794","6.033"
"2016","AZE","Azerbaijan","6.49","106","3","6.320588235","7.881207817","0","6.5","5.175449013","5.67688624","5.861118634","6.321835518","5","5.833333333","7.252962408","9.830311946","6.170494557","7.280192375","0.717948718","5.652732259","9.240397674","6.649350258","9.1642","5","7.513486983","7.973777778","6.799052322","10","4.093268413","7.216524628","7.467777943","6.076782453","7.080078226","6.874879541","-3.06","-4.188","5.043"
"2016","BHS","Bahamas","7.34","49","2","7.085294118","9.040503457","7","10","8.281449394","","6.7","","10","6.666666667","4.699256582","6.149350211","","","0.945945946","6.658107268","8.654100646","8.97551398","9.9308","0","6.890103656","3.253066667","8.105924622","10","5.384615385","6.685901668","8.622733199","8.361606213","7.523034376","8.169124596","-3.06","-4.188","5.043"
"2016","BHR","Bahrain","7.56","30","1","3.688235294","9.581704339","10","10","8.317484908","6.822563012","6.231400967","7.435712815","5","7.5","4.785814418","8.855314534","7.764705817","7.28725036","0.536585366","5.265601627","9.961595769","8.215417837","9.4404","10","9.404353401","8.5232","6.295594702","10","4.794819185","7.403403472","7.609167116","6.619417747","8.018773961","7.415786274","-3.06","-4.188","5.043"
"2016","BGD","Bangladesh","6.3","120","3","9.455882353","9.724590355","7","8","8.545118177","3.888845443","3.418127894","5.083289942","4.166666667","3.333333333","0.941148344","3.120478515","3.75496149","4.728147587","0.794871795","3.234259181","9.489123371","9.548043615","8.8973","0","6.983616746","6.5412","3.23863567","10","4.377654644","6.039372579","7.884083638","7.223646768","4.962579742","6.690103383","7.20","6.102","0"
"2016","BRD","Barbados","6.43","111","3","7.564494672","5.968941943","6","6","6.383359154","6.43016363","4.110034171","6.498498057","9.8","","3.803003329","6.174797134","7.495681957","4.895975012","0.871794872","5.756723061","6.434800471","9.203652018","9.98","0","6.404613122","7.282577778","5.661880367","10","5.415144845","7.089900747","6.286333333","7.139466704","6.148503081","6.524767706","2.48","2.205","9.65"
"2016","BLR","Belarus","6.23","123","4","5.085294118","4.460490463","10","7.5","6.761446145","","4.2","","5","5.833333333","6.970305125","9.943302288","","","0.72972973","5.525957318","8.698423241","0","7.632683846","5","5.332776772","7.704355556","9.728995482","10","1.269605131","7.175739042","3.850618466","7.188794038","8.092322015","6.37724484","-2.53","-2.701","1.017"
"2016","BEL","Belgium","7.32","52","2","2.491176471","2.010415679","10","1","3.875398037","7.683749198","5.396705867","7.907517752","10","8.333333333","5.565037753","4.767009987","7.667311827","6.278735797","1","7.066600168","8.094896529","9.808966854","9.6056","10","9.377365846","8.266133333","8.057298673","10","6.481454241","8.201221562","9.606065797","7.327516196","7.37437972","8.102653904","1.51","0.848","7.842"
"2016","BLZ","Belize","6.86","83","3","6.632643345","8.431259972","4","9","7.015975829","8.027163908","4.2","7.385106292","6.4","","3.329065561","7.288231811","3.329","4.767009987","0.837837838","5.137397422","9.412644974","9.545453008","9.86","0","7.204524495","6.619111111","6.87319263","10","4.709434454","7.050434549","9.947941843","7.018916776","6.684745014","7.883867878","0.09","-2.473","9.5"
"2016","BEN","Benin","5.98","134","4","7.458823529","9.771474636","4","3.5","6.182574541","3.35232695","4.098691146","4.988822142","6.3","","1.068746974","6.58160217","5.510087808","4.978126685","0.658536585","3.822761377","9.438972577","8.80256768","9.814","0","7.013885064","6.807733333","4.712943856","10","2.585506212","6.02654585","8.48792328","5.937581418","6.14228128","6.85592866","3.34","0.523","0"
"2016","BTN","Bhutan","7.02","73","2","4.447058824","9.899419951","7","8.5","7.461619694","6.159169673","5.319348177","6.705373923","9.2","","7.365354835","6.901202527","7.96943744","7.54739364","0.923076923","6.871067334","8.673922932","9.085121946","9.1246","0","6.72091122","6.471777778","7.433688339","10","1.424685799","6.332537979","7.765471604","8.664285342","6.674657871","7.701471606","7.41","6.101","2.1"
"2016","BOL","Bolivia","6.23","123","4","5.814705882","8.836512262","0","10","6.162804536","0.956256059","1.703646022","3.41251835","5","4.166666667","4.491576292","6.75412581","2.460317612","5.990888701","0.871794872","3.632945402","9.969644364","8.30055652","9.275","10","9.386300221","7.749177762","3.981029993","10","6.21796113","6.987042221","7.630666667","3.948479495","3.346665694","4.975270619","4.26","2.847","3.463"
"2016","BIH","Bosnia and Herzegovina","6.6","98","3","5.582352941","5.352167397","4","6.5","5.358630085","3.081718287","2.357058128","3.628379503","5.1","","3.79305681","7.837119866","4.37454462","5.173087915","0.871794872","4.134907779","8.806768787","9.707141922","9.749712","5","8.315905677","8.551866667","7.16936923","10","5.4178715","7.784776849","9.561233572","7.399740811","5.27986296","7.413612448","3.21","3.777","25.4"
"2016","BWA","Botswana","7.43","44","2","3.644117647","7.164032698","7","9","6.702037586","5.342911085","5.415025353","6.81322813","8.333333333","5.833333333","3.072296317","7.813293278","6.060113112","5.566627185","0.974358974","5.950516249","8.753210986","8.227721908","9.2462","10","9.056783223","5.944","7.514893678","10","7.25920774","7.679525354","8.85675282","7.509680418","6.942897381","7.769776873","4.30","2.4","0"
"2016","BRA","Brazil","5.75","144","4","4.714705882","5.786374387","4","6","5.125270067","5.175664425","3.006006082","5.518025557","6.666666667","3.333333333","3.663252449","8.354687983","4.299419323","2.80659","0.923076923","4.575175835","9.103944726","9.532096557","8.2522","5","7.972060321","7.261777778","5.508447048","10","5.230938454","7.00029082","4.540030543","4.149861283","3.590036191","4.093309339","-3.29","-4.077","11.258"
"2016","BRN","Brunei Darussalam","6.93","77","2","0","","","10","5","5.154732068","3.52338473","5.659206708","8.333333333","8.333333333","4.171103526","4.802773258","6.560233433","7.161271572","0.794871795","5.35463823","9.498932855","5.837362927","9.85354","10","8.797458945","9.2584","3.76135686","10","5.199615301","7.05484304","9.128576258","8.686707881","7.51395396","8.443079366","-2.46","-3.6","8.5"
"2016","BGR","Bulgaria","7.41","46","2","5.747058824","5.846511721","8","8.5","7.023392636","3.325276375","3.326449394","4.183209737","8.333333333","5","5.083931827","8.6876519","4.260773262","4.903684855","0.846153846","4.831211352","8.462607943","9.454486725","9.8403","10","9.439348667","8.266133333","7.60403645","10","6.619250103","8.122354972","9.610571569","7.035682204","6.191990217","7.612747996","3.81","4.571","7.666"
"2016","BFA","Burkina Faso","6.05","129","4","3.121846414","10","2","6.5","5.405461604","1.853980189","3.594626659","4.163926422","3.333333333","5.833333333","2.139195153","4.789216241","5.077216989","4.677293378","0.871794872","3.68765653","9.902544898","8.632590243","9.9506","0","7.121433785","7.367733333","4.538208791","10","4.510638729","6.604145213","9.008980282","7.158336143","6.115344272","7.427553566","5.96","2.914","0"
"2016","BDI","Burundi","5.92","138","4","5.961764706","10","2","6.5","6.115441176","2.094861268","2.993569176","3.376284838","1.7","","2.65461566","8.546312702","3.36015145","4.672147433","0.902439024","3.495487069","8.401181798","8.048301011","8.8924","5","7.585470702","6.897955556","2.403250258","10","5.141874781","6.110770149","5","7.803309627","6.012328137","6.271879255","-0.63","-3.709","0"
"2016","KHM","Cambodia","7.17","64","2","9.879411765","9.712056102","2","10","7.897866967","2.700124185","3.114145796","4.658861955","6","","1.824541681","7.52818438","3.317419688","5.079974333","1","4.277906502","8.197496697","9.641029707","9.39561","10","9.308534101","7.644711111","4.597889975","10","7.05360867","7.324052439","9.5","6.548741864","5.135845438","7.061529101","6.86","5.176","0"
"2016","CMR","Cameroon","5.82","141","4","7.379411765","9.567100156","7","4.5","7.11162798","3.431263765","4.199537039","5.102848212","5","3.333333333","2.168525641","3.374665576","5.398001672","4.319142898","0.585365854","3.19956054","9.586798971","9.474437844","9.82686","0","7.222024204","5.495733333","2.363001307","10","2.360347603","5.054770561","7.166555065","7.334711926","5.08887533","6.53004744","4.65","2.096","0"
"2016","CAN","Canada","7.98","10","1","3.923529412","7.172715823","8","5","6.024061309","8.648412228","6.388168335","8.380740483","10","9.166666667","3.645024073","8.971140462","8.817169667","6.866138777","1","7.875940077","8.992624796","9.610223175","9.716","10","9.579711993","7.0476","7.922217488","10","6.747176283","7.929248443","9.7121406","8.179867489","7.652363697","8.514790596","1.00","-0.047","6.992"
"2016","CPV","Cape Verde","6.68","93","3","5.123061072","9.359980869","0","6","5.120760485","5.43920358","3.724713922","5.316383043","8.4","","6.058581633","8.828180929","5.422616005","5.006093978","1","6.024471636","8.485153825","9.299383624","9.7186","5","8.125784362","6.697777778","5.785791275","10","6.319317844","7.200721724","9.306979306","4.893458536","6.568007428","6.92281509","1.00","-0.047","6.992"
"2016","CAF","Central Afr. Rep.","5.11","156","4","9.702941176","9.58009584","4","5","7.070759254","","2.5","","0.8","","0.508171469","4.966733578","","","0.692307692","1.856229914","8.648341026","8.406191701","9.08","0","6.533633182","4.490222222","2.637307488","10","1.488297438","4.653956787","8.195","3.251725385","4.80489017","5.417205185","1.00","-0.047","6.992"
"2016","TCD","Chad","5.44","150","4","10","9.918256131","10","1","7.729564033","1.782996655","2.867790263","3.16675663","3.686306622","","2.223210769","4.928058589","2.899315357","3.249397675","0.717948718","2.663232022","9.211357464","7.912860739","9.78","0","6.726054551","6.3126","2.025777308","10","2.14664496","5.121255567","5.96007812","5.363152564","3.536916385","4.953382356","-5.56","-8.483","0"
"2016","CHL","Chile","7.8","15","1","6.629411765","7.891641773","10","7","7.880263385","6.439824898","4.708226323","7.06916809","7.5","7.5","5.109379145","9.066918247","8.145647048","5.205232302","0.902439024","6.42013942","8.713567963","9.369285721","9.2428","10","9.331413421","9.470666667","7.029769477","10","6.573815995","8.268563035","8.947500322","5.170611125","7.176758575","7.098290007","1.71","0.618","6.685"
"2016","CHN","China","6.46","108","3","3.861764706","8.294277929","2","6","5.039010659","5.823229153","5.173021555","5.960284868","5","5.833333333","5.739974919","8.513846662","5.981355508","6.310324668","0.871794872","5.650259343","9.981750724","9.587956452","9.6","5","8.542426794","8.211422222","6.220092258","10","2.403916296","6.708857694","7.133781301","5.539547608","6.400861149","6.358063353","6.85","6.224","4.02"
"2016","COL","Colombia","6.5","105","3","5.097058824","7.840214037","10","4.5","6.859318215","3.268849055","2.75427103","4.801660777","4.166666667","3.333333333","2.217134643","9.091960087","3.923158248","3.169451555","0.871794872","3.819135946","9.064892039","9.334368259","8.4966","5","7.973965074","7.820355556","4.319062875","9.53442623","5.569295801","6.810785115","8.882960013","5.837183668","6.413231872","7.044458518","2.09","0.946","9.217"
"2016","COD","Congo, Dem. R.","5.67","148","4","7.676470588","8.850408719","8","4","7.131719827","2.318284512","3.119046489","3.964802822","2.5","1.666666667","0.970058556","5.633134241","3.939285675","5.738034248","0.585365854","2.629004551","8.783998578","9.23882598","6.36","5","7.345706139","7.750755556","2.017236551","10","2.270817259","5.509702341","6.333333333","5.805843565","5.107181429","5.748786109","3.46","0.709","0"
"2016","COG","Congo, Rep. Of","5.02","157","4","5.435294118","9.898215245","4","4","5.833377341","","3.7","","5","3.333333333","3.011738204","3.960541938","","","0.707317073","3.244860837","7.762544875","5.373309836","9.28","0","5.603963678","7.989288889","0","10","1.543610258","4.883224787","6.057331507","5.657673442","4.938541785","5.551182245","3.46","0.709","0"
"2016","CRI","Costa Rica","7.55","33","1","5.435294118","8.50132522","10","6.5","7.609154834","7.255743345","4.389432271","6.302503745","10","5","3.523501568","8.674490181","6.097735563","5.408519108","0.871794872","5.891154675","9.509110914","9.610662095","9.99918","10","9.779738252","7.962311111","6.090374352","10","7.961562034","8.003561874","6.798087824","6.145050888","6.40425362","6.449130777","4.25","3.007","9.541"
"2016","CIV","Cote d'Ivoire","6","132","4","7.335294118","9.958248538","4","2","5.823385664","4.291210609","4.837725315","5.402195014","3.333333333","4.166666667","3.974267539","7.000559719","5.083333651","4.630969013","0.923076923","4.564130434","9.093015936","9.757351142","9.8548","0","7.17629177","5.7744","2.929833805","10","3.216520705","5.480188627","8.693333333","5.93077851","6.203657255","6.942589699","4.25","3.007","9.541"
"2016","HRV","Croatia","6.96","75","2","4.438235294","4.297314868","8","2","4.68388754","3.154351313","1.765374938","4.383976857","8.333333333","7.5","4.642387391","7.513402326","6.074648698","7.244429588","0.948717949","5.479351478","7.120634665","9.644659951","9.78","10","9.136323654","8.568355556","8.306175881","10","5.878025305","8.188139185","9.409517953","6.372155702","6.081175527","7.287616394","3.48","4.227","14.958"
"2016","CYP","Cyprus","7.71","18","1","6.520588235","6.235337445","10","6.5","7.31398142","6.091953118","4.238452713","5.868837038","8.333333333","8.333333333","4.003515462","6.411309995","6.150461038","6.891518433","0.897435897","5.937152237","8.736025105","9.508918848","9.7142","10","9.489785988","8.266133333","7.870572007","10","6.99551827","8.283055903","9.575116132","6.212178254","6.855926718","7.547740368","6.75","6.581","12.95"
"2016","CZE","Czech Rep.","7.56","30","1","3.226470588","3.353893802","10","6.5","5.770091097","5.827378432","3.046967784","6.05143547","10","8.333333333","3.806148738","8.155976401","6.261775493","7.528491815","0.923076923","6.304648234","7.90190933","9.772818798","9.87214","10","9.386717032","8.266133333","8.416627262","10","6.255504475","8.234566268","9.768837707","8.119501152","6.378849601","8.08906282","6.75","6.581","12.95"
"2016","DNK","Denmark","7.77","16","1","1.505882353","4.53071545","8","2.5","4.134149451","8.569609323","5.976064206","8.181675275","10","10","5.393731649","9.727176308","7.924672763","6.92485094","1","8.077531163","9.847807722","9.656597207","9.95","10","9.863601232","8.266133333","8.207246873","10","7.372650501","8.461507677","9.769573842","7.316828066","7.875362985","8.320588298","3.25","2.388","6.017"
"2016","DOM","Dominican Rep.","7.18","62","2","7.747058824","9.585596595","6","8","7.833163855","2.225284577","2.809914747","4.820466438","5","4.166666667","3.533008807","8.031916106","2.43088444","3.252709707","1","4.03009461","8.961171242","9.260430077","9.6772","10","9.47470033","7.908088889","7.079630917","10","6.79376537","7.945371294","8.333333333","6.013669306","5.506610353","6.617870998","2.52","2.522","0"
"2016","ECU","Ecuador","6.06","127","4","6.076470588","9.591280654","2","5","5.666937811","1.163915197","2.144682507","3.805727562","2.5","4.166666667","4.870378551","8.591535377","4.841975768","4.552739462","0.871794872","3.809895071","9.360712359","9.002463704","9.656","5","8.254794016","6.318844444","4.179157569","10","5.500476223","6.499619559","8.5687848","4.940572775","4.629035389","6.046130988","-1.23","-2.72","5.21"
"2016","EGY","Egypt","5.72","147","4","8.197058824","7.070287241","2","7","6.066836516","6.872851848","4.090909163","4.882154862","1.666666667","5","3.408055189","8.220974827","6.329966387","5.673400562","0.538461538","3.944015342","6.342617213","9.018847101","7.2372","10","8.149666078","4.9","3.68132112","9.182630907","4.705836927","5.617447238","4","4.85299131","5.603716045","4.818902452","4.35","2.958","12.705"
"2016","SLV","El Salvador","7.15","67","2","8.244117647","9.472089148","8","8","8.429051699","3.724076748","2.567251921","4.165202777","4.166666667","2.5","3.833383955","8.165020936","2.286652327","0.778195858","1","3.576272354","9.52433648","9.829957916","9.87922","10","9.808378599","8.227555556","6.567555882","10","5.918338586","7.678362506","8.394468689","4.44656236","5.889922988","6.243651346","2.54","2.042","7.1"
"2016","EST","Estonia","7.86","13","1","3.473529412","6.061366019","7","7","5.883723858","7.83907493","5.534038941","7.342769305","8.333333333","6.666666667","5.704890202","9.504907725","8.341100217","7.707635562","1","7.441601876","7.825200968","9.511280261","9.97018","10","9.326665307","8.266133333","8.489838302","10","6.981259352","8.434307747","10","6.263752386","8.339997599","8.201249995","2.63","2.602","6.758"
"2016","ETH","Ethiopia","5.73","146","4","8.179411765","9.105664995","4","5","6.57126919","4.472307363","4.296224713","5.336213907","1.666666667","7.5","5.546758592","7.044972227","5.022476515","5.690726438","0.794871795","4.644365028","9.019101689","5.366032594","8.5468","0","5.732983571","5.232266667","3.459840483","10","1.533810508","5.056479414","7.073286052","7.286482154","5.575413575","6.645060594","8.00","6.299","0"
"2016","FJI","Fiji","6.79","88","3","3.494117647","9.462710641","6","5","5.989207072","","4.6","","7.9","","5.10906166","7.709818901","","","0.918918919","6.073109864","7.33357079","9.22628899","9.2272","0","6.446764945","4.957777778","6.42368605","10","5","6.595365957","9.40023194","9.293303107","7.82016146","8.837898836","2.51","1.609","5.5"
"2016","FIN","Finland","7.65","22","1","2.858823529","3.245496168","8","2.5","4.151079924","9.697463512","7.981029352","9.288065433","10","10","5.82513654","7.796890889","9.688242277","8.906801542","1","8.79818106","7.836624827","9.676779653","9.9288","10","9.36055112","8.266133333","8.503810324","10","6.16176319","8.232926712","9.464505523","5.200684982","8.488581708","7.717924071","2.71","2.419","8.792"
"2016","FRA","France","7.25","57","2","2.961764706","2.418467067","8","3.5","4.220057943","7.129147053","5.673480431","7.290585042","8.333333333","8.333333333","6.430501438","6.390856768","7.81939586","6.537079812","0.948717949","6.922031615","8.134101246","9.823007965","9.96334","10","9.480112303","8.266133333","7.675565494","10","6.770505407","8.178051059","9.439526677","5.623802444","7.312512233","7.458613785","1.09","0.832","10.042"
"2016","GAB","Gabon","5.84","140","4","3.670588235","9.809264305","8","3.5","6.244963135","3.433124849","3.636299365","5.147555158","3.333333333","5","2.915889045","4.620809784","4.898989995","5.933838061","0.804878049","3.902531341","8.449105994","8.331485987","9.57866","0","6.589812995","6.283","3.698870375","10","2.785869131","5.691934877","8.109333333","7.267349227","4.980851193","6.785844584","2.09","-0.467","0"
